,Walk Time,Bike Time,Bus Time
0,10000000.0,48975.863,46215.0
1,34868.48,8699.566,10000000.0
2,10000000.0,23703.517,15015.0
3,103942.242,27458.46,10000000.0
4,92101.125,25153.818,10000000.0
5,10000000.0,46348.496,47295.0
6,38070.109,9077.695,10000000.0
7,98514.796,29436.076,10000000.0
8,93849.335,25161.847,10695.0
9,53827.152,14404.191,8475.0
10,36390.242,8856.872,10000000.0
11,40870.058,10672.0,10000000.0
12,10000000.0,44929.562,46515.0
13,96695.937,24445.529,10000000.0
14,26476.505,6092.189,10000000.0
15,56862.285,13620.031,11595.0
16,10000000.0,23060.328,10095.0
17,10000000.0,46232.601,47235.0
18,10000000.0,22044.417,15915.0
19,30643.445,7850.137,10215.0
20,10000000.0,24359.927,10815.0
21,10000000.0,18786.15,10000000.0
22,35903.628,9566.939,6195.0
23,57825.039,15631.306,11655.0
24,54764.191,15585.124,10000000.0
25,36630.707,9658.41,12135.0
26,43486.937,10999.647,9795.0
27,46976.687,12318.716,10000000.0
28,10000000.0,45553.019,46635.0
29,10000000.0,19125.273,12855.0
30,51956.992,12979.666,11295.0
31,10000000.0,44267.207,47175.0
32,10000000.0,19899.156,10000000.0
33,36126.55,8801.499,10000000.0
34,25794.97,6493.195,13695.0
35,43984.476,11166.318,10995.0
36,36136.515,8825.61,10000000.0
37,47942.968,11870.325,10000000.0
38,77654.226,20185.871,20535.0
39,10000000.0,52087.75,10000000.0
40,37019.968,9054.038,10000000.0
41,10000000.0,19576.318,10000000.0
42,99064.968,23064.091,10000000.0
43,10000000.0,22268.292,14655.0
44,36507.296,8980.64,14415.0
45,10000000.0,46206.933,46155.0
46,47516.273,12291.279,7995.0
47,94959.781,26781.99,16275.0
48,10000000.0,24401.148,19635.0
49,48247.097,12420.819,11175.0
50,40245.375,9658.959,10000000.0
51,82053.617,20996.304,9855.0
52,38446.667,10050.247,7515.0
53,10000000.0,20490.406,14415.0
54,41298.824,10052.164,10000000.0
55,64284.265,15591.395,10000000.0
56,99333.281,27941.808,10000000.0
57,42271.011,9910.61,11895.0
58,56401.582,14139.044,10635.0
59,10000000.0,49453.875,10000000.0
60,55422.75,16284.129,10000000.0
61,92214.171,24538.117,19515.0
62,96198.664,24426.394,15135.0
63,38875.843,9359.559,10000000.0
64,56065.457,15270.098,11115.0
65,30169.994,7348.847,10000000.0
66,39340.812,9772.088,11955.0
67,45833.941,11791.812,10575.0
68,33148.035,7686.921,10000000.0
69,33055.726,7927.237,6075.0
70,36449.074,9848.341,10000000.0
71,57480.644,15949.814,9975.0
72,56639.316,14693.92,9375.0
73,42307.445,11108.691,10815.0
74,40647.445,11058.653,13875.0
75,36122.464,8969.321,4935.0
76,58723.453,15394.651,7515.0
77,43712.394,11435.648,10935.0
78,10000000.0,44510.164,10000000.0
79,10000000.0,20466.392,13155.0
80,36141.171,9640.888,15075.0
81,10000000.0,17316.875,19395.0
82,84986.039,21785.271,10000000.0
83,29857.269,7056.403,10000000.0
84,45988.718,12815.944,6735.0
85,10000000.0,23019.601,10000000.0
86,48324.941,12436.273,7575.0
87,45178.015,10907.823,9855.0
88,10000000.0,50494.519,10000000.0
89,31354.039,7470.13,10000000.0
90,47073.89,11204.864,10000000.0
91,40308.429,9887.195,11055.0
92,37359.296,9065.509,10000000.0
93,58247.742,13938.841,10000000.0
94,40931.613,11418.455,7515.0
95,35913.351,8945.333,11415.0
96,37410.23,8959.98,10000000.0
97,34804.457,8394.434,10000000.0
98,10000000.0,49183.921,48855.0
99,46441.183,11414.77,10755.0
100,34139.917,8594.205,10000000.0
