,Total Jobs,Jobs Earning at or Under 1250$/month,Jobs Earning Between 1251$ and 3333/month,Jobs Earning Over 3333$/month,No Tax Commute Cost,No Tax Commute Time,Full Tax Commute Time,Full Tax Commute Cost,Half Tax Commute Cost,Half Tax Commute Time
0,1,0,1,0,12799.609292668287,26407.796925776474,16591.281666719573,11588.288172407345,12799.609292668287,26407.796925776474
1,1,0,0,1,2332.2956328471023,1301.772773314115,1301.772773314115,2332.2956328471023,2332.2956328471023,1301.772773314115
2,1,0,1,0,6624.198008616944,3266.5618043727113,3266.5618043727113,6624.198008616944,6624.198008616944,3266.5618043727113
3,1,0,1,0,6823.19132173034,3380.2530426441936,3380.2530426441936,6823.19132173034,6823.19132173034,3380.2530426441936
4,1,0,0,1,5814.506856870703,2806.1499911816304,2806.1499911816304,5814.506856870703,5814.506856870703,2806.1499911816304
5,1,0,0,1,12512.977425406256,21828.783914330612,13713.510922466947,11371.287357428271,12512.977425406256,21828.783914330612
6,1,1,0,0,2685.3632897756133,1437.7405450937267,1437.7405450937267,2685.3632897756133,2685.3632897756133,1437.7405450937267
7,1,1,0,0,6276.184813294626,3280.0538123896467,3280.0538123896467,6276.184813294626,6276.184813294626,3280.0538123896467
8,1,0,1,0,6105.170661537084,2909.199780984167,2909.199780984167,6105.170661537084,6105.170661537084,2909.199780984167
9,1,1,0,0,4028.327230323527,1984.8000345074042,1984.8000345074042,4028.327230323527,4028.327230323527,1984.8000345074042
10,1,0,0,1,2526.5450488543856,1395.8666411114946,1395.8666411114946,2526.5450488543856,2526.5450488543856,1395.8666411114946
11,1,0,0,1,2950.0868504010905,1502.2264130352592,1501.7001172504777,2937.7916152462244,2950.0868504010905,1502.2264130352592
12,1,0,0,1,12265.730895538134,23920.49880511935,14759.953095913614,11147.456976271505,12265.730895538134,23920.49880511935
13,1,0,0,1,6324.452545644651,3164.2598947051674,3164.2598947051674,6324.452545644651,6324.452545644651,3164.2598947051674
14,1,0,1,0,1964.9192698749316,1141.4490792758916,1141.4490792758916,1964.9192698749316,1964.9192698749316,1141.4490792758916
15,1,0,0,1,3524.432549549848,1659.108588245834,1659.108588245834,3524.432549549848,3524.432549549848,1659.108588245834
16,1,0,1,0,6413.996711706612,3116.41771602744,3116.41771602744,6413.996711706612,6413.996711706612,3116.41771602744
17,1,0,0,1,12573.795761985291,5704.239012916295,5684.575317541048,11330.71876924469,12573.795761985291,5704.239012916295
18,1,0,0,1,7855.867332298795,3954.555328473164,3954.555328473164,7855.867332298795,7855.867332298795,3954.555328473164
19,1,0,0,1,2222.4097014831173,1092.4408832724102,1092.4408832724102,2222.4097014831173,2222.4097014831173,1092.4408832724102
20,1,0,1,0,6428.00424138691,3174.2983138077066,3174.2983138077066,6428.00424138691,6428.00424138691,3174.2983138077066
21,1,0,0,1,7192.000458693831,3608.710297804152,3608.710297804152,7192.000458693831,7192.000458693831,3608.710297804152
22,1,0,0,1,2609.071217227011,1268.4710517118965,1268.4710517118965,2609.071217227011,2609.071217227011,1268.4710517118965
23,1,1,0,0,3835.7626427134646,1904.9298384650187,1904.9298384650187,3835.7626427134646,3835.7626427134646,1904.9298384650187
24,1,0,0,1,3520.928382376695,1786.5431720863767,1786.5431720863767,3520.928382376695,3520.928382376695,1786.5431720863767
25,1,0,0,1,2848.1940630392464,1442.688172900263,1442.688172900263,2848.1940630392464,2848.1940630392464,1442.688172900263
26,1,0,0,1,3527.538530930279,1715.932663174842,1715.932663174842,3527.538530930279,3527.538530930279,1715.932663174842
27,1,0,1,0,3537.0655566544897,1806.454618048664,1806.454618048664,3537.0655566544897,3537.0655566544897,1806.454618048664
28,1,0,0,1,12838.95648474384,14331.865894037643,10113.446174018405,11694.826100704639,12838.95648474384,14331.865894037643
29,1,1,0,0,8014.626514398665,3962.2105602588817,3962.2105602588817,8014.626514398665,8014.626514398665,3962.2105602588817
30,1,0,1,0,3790.559030983974,2029.0669861954927,1966.2887079906104,3791.662770128807,3790.559030983974,2029.0669861954927
31,1,0,1,0,12278.94996306139,23926.727406015278,14730.178241629099,11161.142468095313,12278.94996306139,23926.727406015278
32,1,0,1,0,7505.250397094374,3638.3569302887418,3638.3569302887418,7505.250397094374,7505.250397094374,3638.3569302887418
33,1,0,0,1,2497.319219757222,1348.6590144924262,1348.6590144924262,2497.319219757222,2497.319219757222,1348.6590144924262
34,1,1,0,0,1939.9461768999001,1099.8246287818129,1099.8246287818129,1939.9461768999001,1939.9461768999001,1099.8246287818129
35,1,0,0,1,3381.1468014785796,1782.6549646719916,1782.6549646719916,3381.1468014785796,3381.1468014785796,1782.6549646719916
36,1,0,0,1,2664.84511370505,1414.2912604004946,1414.2912604004946,2664.84511370505,2664.84511370505,1414.2912604004946
37,1,0,0,1,3767.82180562033,1885.827356563023,1885.827356563023,3767.82180562033,3767.82180562033,1885.827356563023
38,1,0,0,1,5568.023632435752,2477.959528934348,2477.959528934348,5568.023632435752,5568.023632435752,2477.959528934348
